Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR006806	Other Sequencing of house mouse	Illumina Genome Analyzer	2769	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006806/SRR006806.sra	SRR006806.sra	SRR006806_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006806/SRR006806.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006806/SRR006806.fastq.gz	SRR006806.fastq.gz	SRR006806_Other_Sequencing_of_house_mouse.fastq.gz
SRR007434	Other Sequencing of house mouse	Illumina Genome Analyzer	2817	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR007/SRR007434/SRR007434.sra	SRR007434.sra	SRR007434_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007434/SRR007434.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR007/SRR007434/SRR007434.fastq.gz	SRR007434.fastq.gz	SRR007434_Other_Sequencing_of_house_mouse.fastq.gz
SRR006789	Other Sequencing of house mouse	Illumina Genome Analyzer	201	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006789/SRR006789.sra	SRR006789.sra	SRR006789_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006789/SRR006789.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006789/SRR006789.fastq.gz	SRR006789.fastq.gz	SRR006789_Other_Sequencing_of_house_mouse.fastq.gz
SRR006828	Other Sequencing of house mouse	Illumina Genome Analyzer	196	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006828/SRR006828.sra	SRR006828.sra	SRR006828_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006828/SRR006828.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006828/SRR006828.fastq.gz	SRR006828.fastq.gz	SRR006828_Other_Sequencing_of_house_mouse.fastq.gz
SRR006848	Other Sequencing of house mouse	Illumina Genome Analyzer	2516	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006848/SRR006848.sra	SRR006848.sra	SRR006848_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006848/SRR006848.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006848/SRR006848.fastq.gz	SRR006848.fastq.gz	SRR006848_Other_Sequencing_of_house_mouse.fastq.gz
SRR006829	Other Sequencing of house mouse	Illumina Genome Analyzer	197	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006829/SRR006829.sra	SRR006829.sra	SRR006829_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006829/SRR006829.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006829/SRR006829.fastq.gz	SRR006829.fastq.gz	SRR006829_Other_Sequencing_of_house_mouse.fastq.gz
SRR006805	Other Sequencing of house mouse	Illumina Genome Analyzer	2529	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006805/SRR006805.sra	SRR006805.sra	SRR006805_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006805/SRR006805.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006805/SRR006805.fastq.gz	SRR006805.fastq.gz	SRR006805_Other_Sequencing_of_house_mouse.fastq.gz
SRR006830	Other Sequencing of house mouse	Illumina Genome Analyzer	514	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006830/SRR006830.sra	SRR006830.sra	SRR006830_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006830/SRR006830.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006830/SRR006830.fastq.gz	SRR006830.fastq.gz	SRR006830_Other_Sequencing_of_house_mouse.fastq.gz
SRR006888	Other Sequencing of house mouse	Illumina Genome Analyzer	2070	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006888/SRR006888.sra	SRR006888.sra	SRR006888_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006888/SRR006888.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006888/SRR006888.fastq.gz	SRR006888.fastq.gz	SRR006888_Other_Sequencing_of_house_mouse.fastq.gz
SRR006831	Other Sequencing of house mouse	Illumina Genome Analyzer	2801	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006831/SRR006831.sra	SRR006831.sra	SRR006831_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006831/SRR006831.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006831/SRR006831.fastq.gz	SRR006831.fastq.gz	SRR006831_Other_Sequencing_of_house_mouse.fastq.gz
SRR006832	Other Sequencing of house mouse	Illumina Genome Analyzer	2785	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006832/SRR006832.sra	SRR006832.sra	SRR006832_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006832/SRR006832.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006832/SRR006832.fastq.gz	SRR006832.fastq.gz	SRR006832_Other_Sequencing_of_house_mouse.fastq.gz
SRR006889	Other Sequencing of house mouse	Illumina Genome Analyzer	5801	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006889/SRR006889.sra	SRR006889.sra	SRR006889_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006889/SRR006889.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006889/SRR006889.fastq.gz	SRR006889.fastq.gz	SRR006889_Other_Sequencing_of_house_mouse.fastq.gz
SRR007334	Other Sequencing of house mouse	Illumina Genome Analyzer	2695	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR007/SRR007334/SRR007334.sra	SRR007334.sra	SRR007334_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007334/SRR007334.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR007/SRR007334/SRR007334.fastq.gz	SRR007334.fastq.gz	SRR007334_Other_Sequencing_of_house_mouse.fastq.gz
SRR007435	Other Sequencing of house mouse	Illumina Genome Analyzer	3230	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR007/SRR007435/SRR007435.sra	SRR007435.sra	SRR007435_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007435/SRR007435.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR007/SRR007435/SRR007435.fastq.gz	SRR007435.fastq.gz	SRR007435_Other_Sequencing_of_house_mouse.fastq.gz
SRR007333	Other Sequencing of house mouse	Illumina Genome Analyzer	5150	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR007/SRR007333/SRR007333.sra	SRR007333.sra	SRR007333_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007333/SRR007333.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR007/SRR007333/SRR007333.fastq.gz	SRR007333.fastq.gz	SRR007333_Other_Sequencing_of_house_mouse.fastq.gz
SRR007436	Other Sequencing of house mouse	Illumina Genome Analyzer	2286	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR007/SRR007436/SRR007436.sra	SRR007436.sra	SRR007436_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007436/SRR007436.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR007/SRR007436/SRR007436.fastq.gz	SRR007436.fastq.gz	SRR007436_Other_Sequencing_of_house_mouse.fastq.gz
SRR007426	Other Sequencing of house mouse	Illumina Genome Analyzer	4661	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR007/SRR007426/SRR007426.sra	SRR007426.sra	SRR007426_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007426/SRR007426.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR007/SRR007426/SRR007426.fastq.gz	SRR007426.fastq.gz	SRR007426_Other_Sequencing_of_house_mouse.fastq.gz
SRR007425	Other Sequencing of house mouse	Illumina Genome Analyzer	2440	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR007/SRR007425/SRR007425.sra	SRR007425.sra	SRR007425_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007425/SRR007425.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR007/SRR007425/SRR007425.fastq.gz	SRR007425.fastq.gz	SRR007425_Other_Sequencing_of_house_mouse.fastq.gz
SRR007438	Other Sequencing of house mouse	Illumina Genome Analyzer	2451	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR007/SRR007438/SRR007438.sra	SRR007438.sra	SRR007438_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007438/SRR007438.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR007/SRR007438/SRR007438.fastq.gz	SRR007438.fastq.gz	SRR007438_Other_Sequencing_of_house_mouse.fastq.gz
SRR007428	Other Sequencing of house mouse	Illumina Genome Analyzer	4762	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR007/SRR007428/SRR007428.sra	SRR007428.sra	SRR007428_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007428/SRR007428.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR007/SRR007428/SRR007428.fastq.gz	SRR007428.fastq.gz	SRR007428_Other_Sequencing_of_house_mouse.fastq.gz
SRR007437	Other Sequencing of house mouse	Illumina Genome Analyzer	3460	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR007/SRR007437/SRR007437.sra	SRR007437.sra	SRR007437_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007437/SRR007437.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR007/SRR007437/SRR007437.fastq.gz	SRR007437.fastq.gz	SRR007437_Other_Sequencing_of_house_mouse.fastq.gz
SRR006792	Other Sequencing of house mouse	Illumina Genome Analyzer	3219	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006792/SRR006792.sra	SRR006792.sra	SRR006792_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006792/SRR006792.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006792/SRR006792.fastq.gz	SRR006792.fastq.gz	SRR006792_Other_Sequencing_of_house_mouse.fastq.gz
SRR007427	Other Sequencing of house mouse	Illumina Genome Analyzer	267	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR007/SRR007427/SRR007427.sra	SRR007427.sra	SRR007427_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007427/SRR007427.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR007/SRR007427/SRR007427.fastq.gz	SRR007427.fastq.gz	SRR007427_Other_Sequencing_of_house_mouse.fastq.gz
SRR006793	Other Sequencing of house mouse	Illumina Genome Analyzer	745	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006793/SRR006793.sra	SRR006793.sra	SRR006793_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006793/SRR006793.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006793/SRR006793.fastq.gz	SRR006793.fastq.gz	SRR006793_Other_Sequencing_of_house_mouse.fastq.gz
SRR007430	Other Sequencing of house mouse	Illumina Genome Analyzer	2622	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR007/SRR007430/SRR007430.sra	SRR007430.sra	SRR007430_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007430/SRR007430.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR007/SRR007430/SRR007430.fastq.gz	SRR007430.fastq.gz	SRR007430_Other_Sequencing_of_house_mouse.fastq.gz
SRR007439	Other Sequencing of house mouse	Illumina Genome Analyzer	4955	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR007/SRR007439/SRR007439.sra	SRR007439.sra	SRR007439_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007439/SRR007439.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR007/SRR007439/SRR007439.fastq.gz	SRR007439.fastq.gz	SRR007439_Other_Sequencing_of_house_mouse.fastq.gz
SRR007440	Other Sequencing of house mouse	Illumina Genome Analyzer	3842	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR007/SRR007440/SRR007440.sra	SRR007440.sra	SRR007440_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007440/SRR007440.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR007/SRR007440/SRR007440.fastq.gz	SRR007440.fastq.gz	SRR007440_Other_Sequencing_of_house_mouse.fastq.gz
SRR007441	Other Sequencing of house mouse	Illumina Genome Analyzer	4779	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR007/SRR007441/SRR007441.sra	SRR007441.sra	SRR007441_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007441/SRR007441.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR007/SRR007441/SRR007441.fastq.gz	SRR007441.fastq.gz	SRR007441_Other_Sequencing_of_house_mouse.fastq.gz
SRR007429	Other Sequencing of house mouse	Illumina Genome Analyzer	5190	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR007/SRR007429/SRR007429.sra	SRR007429.sra	SRR007429_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007429/SRR007429.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR007/SRR007429/SRR007429.fastq.gz	SRR007429.fastq.gz	SRR007429_Other_Sequencing_of_house_mouse.fastq.gz
SRR006837	Other Sequencing of house mouse	Illumina Genome Analyzer	2471	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006837/SRR006837.sra	SRR006837.sra	SRR006837_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006837/SRR006837.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006837/SRR006837.fastq.gz	SRR006837.fastq.gz	SRR006837_Other_Sequencing_of_house_mouse.fastq.gz
SRR006838	Other Sequencing of house mouse	Illumina Genome Analyzer	2399	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006838/SRR006838.sra	SRR006838.sra	SRR006838_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006838/SRR006838.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006838/SRR006838.fastq.gz	SRR006838.fastq.gz	SRR006838_Other_Sequencing_of_house_mouse.fastq.gz
SRR007442	Other Sequencing of house mouse	Illumina Genome Analyzer	4063	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR007/SRR007442/SRR007442.sra	SRR007442.sra	SRR007442_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007442/SRR007442.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR007/SRR007442/SRR007442.fastq.gz	SRR007442.fastq.gz	SRR007442_Other_Sequencing_of_house_mouse.fastq.gz
SRR006836	Other Sequencing of house mouse	Illumina Genome Analyzer	380	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006836/SRR006836.sra	SRR006836.sra	SRR006836_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006836/SRR006836.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006836/SRR006836.fastq.gz	SRR006836.fastq.gz	SRR006836_Other_Sequencing_of_house_mouse.fastq.gz
SRR007443	Other Sequencing of house mouse	Illumina Genome Analyzer	4679	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR007/SRR007443/SRR007443.sra	SRR007443.sra	SRR007443_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007443/SRR007443.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR007/SRR007443/SRR007443.fastq.gz	SRR007443.fastq.gz	SRR007443_Other_Sequencing_of_house_mouse.fastq.gz
SRR006835	Other Sequencing of house mouse	Illumina Genome Analyzer	2541	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006835/SRR006835.sra	SRR006835.sra	SRR006835_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006835/SRR006835.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006835/SRR006835.fastq.gz	SRR006835.fastq.gz	SRR006835_Other_Sequencing_of_house_mouse.fastq.gz
SRR006797	Other Sequencing of house mouse	Illumina Genome Analyzer	240	1233640800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR006/SRR006797/SRR006797.sra	SRR006797.sra	SRR006797_Other_Sequencing_of_house_mouse.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006797/SRR006797.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR006/SRR006797/SRR006797.fastq.gz	SRR006797.fastq.gz	SRR006797_Other_Sequencing_of_house_mouse.fastq.gz
